Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-16-51,Orange_4_22122021_18-16-50.jpg,Orange_4_22122021_18-16-50_label.jpg,0,0,0,0,0,0
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-20-48,Orange_3_22122021_18-20-47.jpg,Orange_3_22122021_18-20-47_label.jpg,22,18.5,15,144.1304,255,255
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-23-16,Orange_3_22122021_18-23-16.jpg,Orange_3_22122021_18-23-16_label.jpg,0,0,0,0,0,0
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-27-30,Orange_3_22122021_18-27-29.jpg,Orange_3_22122021_18-27-29_label.jpg,0,0,0,0,0,0
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-30-47,Orange_2_22122021_18-30-46.jpg,Orange_2_22122021_18-30-46_label.jpg,0,0,0,0,0,0
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-36-08,Orange_3_22122021_18-36-07.jpg,Orange_3_22122021_18-36-07_label.jpg,0,0,0,0,0,0
Time,Image,Mask,Temp,Hum,Lux,R,G,B
22122021_18-38-43,Orange_3_22122021_18-38-42.jpg,Orange_3_22122021_18-38-42_label.jpg,0,0,0,0,0,0
